IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IP_PROP2;IP_PROP10;IP_PROP32;IP_PROP26;IP_PROP41;IP_PROP29;IP_PROP40;IP_PROP33;IP_PROP39;IP_PROP35;IP_PROP25;IP_PROP46;IP_PROP38;IP_PROP31;IP_PROP36;IP_PROP30;IP_PROP23;IP_PROP21;IP_PROP22;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2;
45;Масло для защиты кожи рук RELAXING Hand Butter;45;Y;09.10.2018 21:48:00;;;Масло для защиты кожи рук RELAXING Hand Butter;text;;Масло для защиты кожи рук RELAXING Hand Butter;;Maslo_dlja_zashhity_kozhi_ruk_RELAXING_Hand_Butter;;;150400515-01;1750;;DEMI;;;;;;;;;190;;;;;;;;;Для волос;;
46;Лак для укладки волос сильной фиксации Hard Up;46;Y;09.10.2018 21:48:00;;;Лак для укладки волос сильной фиксации Hard Up;text;;Лак для укладки волос сильной фиксации Hard Up;;Lak_dlja_ukladki_volos_silnoj_fiksacii_Hard_Up;;;150400097-02;1200;;DEMI;;;;;;;;;190;;;;;;;;;Для волос;;
47;Лак для укладки волос средней фиксации Hold Spray;47;Y;09.10.2018 21:48:00;;;Лак для укладки волос средней фиксации Hold Spray;text;;Лак для укладки волос средней фиксации Hold Spray;;Lak_dlja_ukladki_volos_srednej_fiksacii_Hold_Spray;;;150400098-02;1200;;DEMI;;;;;;;;;190;;;;;;;;;Для волос;;
48;Лак для укладки волос без степени фиксации Smooth Coat;48;Y;09.10.2018 21:48:00;;;Лак для укладки волос без степени фиксации Smooth Coat;text;;Лак для укладки волос без степени фиксации Smooth Coat;;Lak_dlja_ukladki_volos_bez_stepeni_fiksacii_Smooth_Coat;;;150400099-02;1200;;DEMI;;;;;;;;;1;;;;;;;;;Для волос;;
49;РЕЗИСТАНС Суан 1 180мл;49;Y;09.10.2018 21:48:00;;;Уход для услуги Экстенционист, 10 х 18 мл;text;;Уход для услуги Экстенционист, 10 х 18 мл;;REZISTANS_Suan_1_180ml;;;E2683800;5500;;Kerastase;;;;;;;;;180;;;;;;;;;Для волос;;
50;РЕЗИСТАНС Экстенционист ШВ 250мл;50;Y;09.10.2018 21:48:00;;;Шампунь для ухода за волосами в процессе их роста;text;;Шампунь для ухода за волосами в процессе их роста;;REZISTANS_Jekstencionist_ShV_250ml;;;E2678500;2200;;Kerastase;;;;;;;;;250;;;;;;;;;Для волос;;
51;РЕЗИСТАНС Экстенцион Молочко 200мл;51;Y;09.10.2018 21:48:00;;;Молочко для ухода за волосами в процессе их роста;text;;Молочко для ухода за волосами в процессе их роста;;REZISTANS_Jekstencion_Molochko_200ml;;;E2681000;3350;;Kerastase;;;;;;;;;200;;;;;;;;;Для волос;;
52;РЕЗИСТАНС Экстенционист Маска 200мл;52;Y;09.10.2018 21:48:00;;;Маска для ухода за волосами в процессе их роста;text;;Маска для ухода за волосами в процессе их роста;;REZISTANS_Jekstencionist_Maska_200ml;;;E2683400;3750;;Kerastase;;;;;;;;;200;;;;;;;;;Для волос;;
53;РЕЗИСТАНС Экстенц Сыворотка 50мл;53;Y;09.10.2018 21:48:00;;;Сыворотка для ухода за волосами в процессе их роста;text;;Сыворотка для ухода за волосами в процессе их роста;;REZISTANS_Jekstenc_Syvorotka_50ml;;;E2755200;3400;;Kerastase;;;;;;;;;50;;;;;;;;;Для волос;;
54;Тревел-сайзы в пакеты Вояж;54;Y;09.10.2018 21:48:00;;;Подсортировка с 10 продуктами для путешествий;text;;Подсортировка с 10 продуктами для путешествий;;Trevel-sajzy_v_pakety_Vojazh;;;URU10120;9450;;Kerastase;;;;;;;;;1;;;;;;;;;Для волос;;
